name,parent,mass_kg,radius_km,semimajor_axis_km,eccentricity,inclination_deg,orbital_period_days,rotational_period_hours,axial_tilt_deg
Sun,,1.989e30,695700,,,,,601.2,7.25
Mercury,Sun,3.301e23,2439.7,57909050,0.20563,7.00,87.969,1407.5,0.034
Venus,Sun,4.867e24,6051.8,108208000,0.00677,3.39,224.701,5832.6,177.36
Earth,Sun,5.972e24,6371.0,149597870,0.01671,0.00,365.256,23.9345,23.44
Luna,Earth,7.342e22,1737.4,384400,0.0549,5.145,27.3217,655.72,6.68
Mars,Sun,6.417e23,3389.5,227939200,0.0934,1.85,686.980,24.6229,25.19
Phobos,Mars,1.0659e16,11.27,9376,0.0151,1.075,0.31891,7.6538,0
Deimos,Mars,1.4762e15,6.2,23463,0.00033,1.79,1.26244,30.298,0
Jupiter,Sun,1.8982e27,69911,778547200,0.0489,1.303,4332.589,9.9259,3.13
Io,Jupiter,8.9319e22,1821.6,421800,0.0041,0.036,1.76914,42.4593,0
Europa,Jupiter,4.7998e22,1560.8,671034,0.009,0.466,3.55118,85.228,0.1
Ganymede,Jupiter,1.4819e23,2634.1,1070412,0.0013,0.177,7.15455,171.709,0.165
Callisto,Jupiter,1.0759e23,2410.3,1882709,0.0074,0.192,16.689,400.536,0
Saturn,Sun,5.6834e26,58232,1433449000,0.0565,2.485,10759.22,10.656,26.73
Mimas,Saturn,3.7493e19,198.2,185539,0.0202,1.574,0.9425,22.62,0
Enceladus,Saturn,1.0802e20,252.1,238037,0.00474,0.009,1.3702,32.885,0
Tethys,Saturn,6.1745e20,531.1,294672,0.0001,1.091,1.8878,45.307,0
Dione,Saturn,1.0955e21,561.4,377415,0.00223,0.028,2.7369,65.686,0
Rhea,Saturn,2.3065e21,763.8,527108,0.00126,0.331,4.5175,108.42,0
Titan,Saturn,1.3452e23,2574.7,1221870,0.0288,0.349,15.945,382.68,0.32
Iapetus,Saturn,1.8056e21,734.5,3560820,0.0283,15.47,79.330,1903.92,0
Uranus,Sun,8.6810e25,25362,2872463000,0.0457,0.772,30688.5,17.24,97.77
Miranda,Uranus,6.4e19,235.8,129390,0.0013,4.232,1.4135,33.924,0
Ariel,Uranus,1.251e21,578.9,190900,0.0012,0.260,2.5204,60.490,0
Umbriel,Uranus,1.275e21,584.7,266000,0.0039,0.205,4.1442,99.461,0
Titania,Uranus,3.400e21,788.4,436300,0.0011,0.340,8.7059,208.94,0
Oberon,Uranus,3.076e21,761.4,583520,0.0014,0.058,13.4632,323.117,0
Neptune,Sun,1.0241e26,24622,4495058000,0.0113,1.770,60182,16.11,28.32
Triton,Neptune,2.139e22,1353.4,354759,0.000016,157.345,5.8769,141.04,0
Nereid,Neptune,3.087e19,170,5513400,0.7507,5.06,360.13,11.52,0
Pluto,Sun,1.303e22,1188.3,5906400000,0.2488,17.16,90560,153.293,122.53
Charon,Pluto,1.586e21,606.0,19591,0,0.001,6.387,153.293,0
